time,frame_hex,roll_raw,pitch_raw,yaw_raw,roll_deg,pitch_deg,yaw_deg,delta_yaw_deg,yaw_unwrapped_deg,radar_az_unwrapped_deg,radar_az_wrapped_deg,radar_el_deg,gyro_time,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s
1783152825.7902288,55 53 f7 ff 09 00 6a 04 73 09 91,-9,9,1130,-0.0494384765625,0.0494384765625,6.207275390625,0.010986328125,6.207275390625,-2.010498046875,357.989501953125,0.0494384765625,1783152825.777554,0,0,0,0.0,0.0,0.0
1783152825.8910432,55 53 f5 ff 08 00 b1 04 79 09 db,-11,8,1201,-0.0604248046875,0.0439453125,6.5972900390625,0.3900146484375,6.5972900390625,-2.4005126953125,357.5994873046875,0.0439453125,1783152825.8783088,0,-2,11,0.0,-0.1220703125,0.67138671875
1783152825.9905066,55 53 f5 ff 06 00 0c 05 79 09 35,-11,6,1292,-0.0604248046875,0.032958984375,7.09716796875,0.4998779296875,7.09716796875,-2.900390625,357.099609375,0.032958984375,1783152825.9779088,1,2,180,0.06103515625,0.1220703125,10.986328125
1783152826.0906544,55 53 f4 ff 06 00 53 05 75 09 77,-12,6,1363,-0.06591796875,0.032958984375,7.4871826171875,0.3900146484375,7.4871826171875,-3.2904052734375,356.7095947265625,0.032958984375,1783152826.0781107,1,1,95,0.06103515625,0.06103515625,5.79833984375
1783152826.1903899,55 53 f3 ff 03 00 cd 05 74 09 ec,-13,3,1485,-0.0714111328125,0.0164794921875,8.1573486328125,0.670166015625,8.1573486328125,-3.9605712890625,356.0394287109375,0.0164794921875,1783152826.1778994,1,-1,112,0.06103515625,-0.06103515625,6.8359375
1783152826.290508,55 53 f1 ff 00 00 66 06 77 09 84,-15,0,1638,-0.0823974609375,0.0,8.997802734375,0.8404541015625,8.997802734375,-4.801025390625,355.198974609375,0.0,1783152826.2779222,1,1,164,0.06103515625,0.06103515625,10.009765625
1783152826.3903046,55 53 f0 ff fe ff e0 06 75 09 f8,-16,-2,1760,-0.087890625,-0.010986328125,9.66796875,0.670166015625,9.66796875,-5.47119140625,354.52880859375,-0.010986328125,1783152826.377901,1,1,146,0.06103515625,0.06103515625,8.9111328125
1783152826.4906394,55 53 ef ff fc ff 69 07 76 09 80,-17,-4,1897,-0.0933837890625,-0.02197265625,10.4205322265625,0.7525634765625,10.4205322265625,-6.2237548828125,353.7762451171875,-0.02197265625,1783152826.4779491,0,0,71,0.0,0.0,4.33349609375
1783152826.5905466,55 53 ed ff f9 ff 07 08 74 09 18,-19,-7,2055,-0.1043701171875,-0.0384521484375,11.2884521484375,0.867919921875,11.2884521484375,-7.0916748046875,352.9083251953125,-0.0384521484375,1783152826.5781028,1,-1,132,0.06103515625,-0.06103515625,8.056640625
1783152826.6907039,55 53 ec ff f5 ff a3 08 77 09 b2,-20,-11,2211,-0.10986328125,-0.0604248046875,12.1453857421875,0.85693359375,12.1453857421875,-7.9486083984375,352.0513916015625,-0.0604248046875,1783152826.6777341,1,-1,90,0.06103515625,-0.06103515625,5.4931640625
1783152826.7905505,55 53 eb ff f3 ff 3b 09 74 09 45,-21,-13,2363,-0.1153564453125,-0.0714111328125,12.9803466796875,0.8349609375,12.9803466796875,-8.7835693359375,351.2164306640625,-0.0714111328125,1783152826.7777436,1,1,167,0.06103515625,0.06103515625,10.19287109375
1783152826.8906744,55 53 e9 ff f0 ff d1 09 77 09 d9,-23,-16,2513,-0.1263427734375,-0.087890625,13.8043212890625,0.823974609375,13.8043212890625,-9.6075439453125,350.3924560546875,-0.087890625,1783152826.8781416,0,-1,79,0.0,-0.06103515625,4.82177734375
1783152826.9908822,55 53 e9 ff ee ff 46 0a 77 09 4d,-23,-18,2630,-0.1263427734375,-0.098876953125,14.447021484375,0.6427001953125,14.447021484375,-10.250244140625,349.749755859375,-0.098876953125,1783152826.978202,1,0,134,0.06103515625,0.0,8.1787109375
1783152827.0906017,55 53 e9 ff ed ff b8 0a 77 09 be,-23,-19,2744,-0.1263427734375,-0.1043701171875,15.0732421875,0.626220703125,15.0732421875,-10.87646484375,349.12353515625,-0.1043701171875,1783152827.077841,0,0,75,0.0,0.0,4.57763671875
1783152827.1907713,55 53 e8 ff ea ff 33 0b 77 09 36,-24,-22,2867,-0.1318359375,-0.120849609375,15.7489013671875,0.6756591796875,15.7489013671875,-11.5521240234375,348.4478759765625,-0.120849609375,1783152827.1782615,0,-2,109,0.0,-0.1220703125,6.65283203125
1783152827.2904074,55 53 e7 ff e7 ff b9 0b 7c 09 bd,-25,-25,3001,-0.1373291015625,-0.1373291015625,16.4849853515625,0.736083984375,16.4849853515625,-12.2882080078125,347.7117919921875,-0.1373291015625,1783152827.2777803,1,-2,158,0.06103515625,-0.1220703125,9.6435546875
